District,Very_Severe_Damage,Severe_Damage,Moderate_Damage,Light_Damage,Estimated_Deaths,Latitude,Longitude
Adalar,413,743,1894,1842,76,40.8733,29.1283
Arnavutköy,41,243,1704,4950,0,41.1851,28.7407
Ataşehir,123,471,2756,6833,89,40.9847,29.1067
Avcılar,233,1261,5545,9285,465,40.9801,28.7175
Bahçelievler,796,1490,5668,9686,1633,40.9989,28.8572
Bakırköy,782,1306,3394,3939,1046,40.9783,28.8744
Bayrampaşa,614,1182,4059,7415,520,41.0473,28.8984
Bağcılar,796,1825,8001,15397,1179,41.0343,28.8333
Başakşehir,115,575,2977,6243,71,41.0975,28.8061
Beykoz,113,443,2756,7356,25,41.1177,29.0981
Beylikdüzü,321,950,3004,4331,527,41.0039,28.6375
Beyoğlu,410,841,3132,7158,217,41.0383,28.9703
Beşiktaş,64,187,1053,3241,26,41.0428,29.0075
Büyükçekmece,439,1635,6622,9367,288,41.0214,28.5794
Esenler,391,813,3739,8302,638,41.0375,28.8817
Esenyurt,563,1768,7911,14672,1003,41.0343,28.6801
Eyüpsultan,300,841,3794,8237,168,41.0475,28.9339
Fatih,2083,3496,9949,15758,1484,41.0165,28.9412
Gaziosmanpaşa,129,403,2276,6969,140,41.0575,28.9133
Güngören,342,611,2407,4597,754,41.0253,28.8725
Kadıköy,208,505,2426,6717,190,40.9819,29.0571
Kartal,199,593,3282,8173,176,40.8886,29.1858
Kağıthane,94,275,1727,5816,84,41.0814,28.9731
Küçükçekmece,1240,2616,8978,13799,1515,41.0011,28.7711
Maltepe,237,690,3388,8156,234,40.9247,29.1311
Pendik,274,1041,5625,13449,195,40.8798,29.2576
Sancaktepe,84,416,2539,6733,48,41.0053,29.2411
Sarıyer,102,365,2486,6977,33,41.1667,29.05
Sultanbeyli,109,648,3949,8225,73,40.9667,29.2667
Sultangazi,61,245,1804,6884,57,41.1047,28.8611
Silivri,444,1707,7155,11997,58,41.0742,28.2481
Tuzla,446,1370,5310,8239,268,40.8164,29.3033
Zeytinburnu,510,1025,3799,6335,668,40.9881,28.9036
Çatalca,63,301,1656,4053,4,41.1431,28.4617
Çekmeköy,16,113,998,3392,1,41.0353,29.1739
Ümraniye,105,534,3626,10656,42,41.0256,29.1161
Üsküdar,146,493,3341,9610,95,41.0329,29.0327
Şile,22,106,774,2402,0,41.1753,29.6133
Şişli,68,207,1008,4333,55,41.0606,28.9878
